阿城	ACB
淮安	AUH
淮安南	AMH
淮北	HRH
淮滨	HVN
怀化	HHQ
淮口	KYW
淮南	HAH
淮南东	HOH
淮南西	HPH
怀仁	HRV
怀柔	HRP
怀柔北	HBP
槐树下	HUQ
怀忠	HZG
桓龙湖	HKT
桓台	VTK
换新天	VTB
黄柏	HBL
黄草场	VQW
潢川	KCN
黄村	HCP
皇德	HEX
黄渡	HDH
黄渡所	02A
荒沟西	HGL
皇姑屯	HTT
黄瓜园	HYM
黄河南岸	HHF
黄河涯	HHK
黄花筒	HUD
黄集	UWH
黄家坝	HKW
黄家店	VDD
黄甲屯	HAD
黄家寨	HZY
黄口	KOH
黄老门	HMG
黄联关	HGW
黄梁梦	HMP
黄陵	ULY
黄流	UUQ
黄梅	VEH
黄梅山	HSH
黄泥河	HHL
黄泥崴子	HQL
黄平	VFW
黄磏	HQW
黄沙河	HHZ
荒山	HSL
黄山	HKH
黄石	HSN
黄石东	OSN
黄水塘	HSW
黄丝	HRW
黄松甸	HDL
黄桶	HWW
黄土岗	HGG
黄土坡	HTP
黄许镇	HXW
黄洋	VVW
黄羊城	HIV
黄阳司	HAQ
黄羊滩	HGJ
黄羊湾	HWJ
黄羊镇	HYJ
湟源	HNO
黄州	VON
库都尔	KDX
惠东	KDQ
回郭镇	HNF
辉河	HIX
汇流河	HUX
回龙庵	HNM
回龙坝	HZW
辉南	HNL
汇南	IKW
惠农	HMJ
辉森乌拉西	HXC
惠山	VCH
汇塘河	HNW
灰腾梁	HUC
会同	VTQ
徽县	HYY
惠州	HCQ
惠州南	KNQ
惠州西	VXQ
呼鲁斯太	VTJ
浑河	HHT
浑江西	HXL
霍尔果斯	HFR
获嘉	HJF
火炬沟	HKL
火连寨	HLT
霍林郭勒	HWD
霍林河	HND
火龙岗	HLH
获鹿	HLP
获鹿所	KLP
霍邱	FBH
火烧寨	HVY
火石泉	HQR
火焰山	HYR
霍州	HZV
加格达奇	JGX
扎赉诺尔	ZRX
扎赉诺尔西	ZXX
吉安	VAG
集安	JAL
吉安南	VNG
基长	JAM
鸡场坡	JRW
继承	JCX
鸡东	JOB
芨东	JDR
鸡冠山	JST
济华夏	JHO
纪家	JJL
纪家沟	VJD
鸡街	JJM
积金	JLW
吉兰泰	JTC
吉林	JLL
吉林西	JXL
芨岭	JLJ
即墨	JMK
济南	JNK
济南东	JAK
济南南	JRK
济南西	JGK
济南中心	JAA
集宁	JNC
济宁	JIK
集宁南	JAC
稷山	JVV
吉山	JSQ
吉首	JIQ
吉首南	JAQ
吉舒	JSL
吉水	VUG
基太	JTI
济铁建行	JBA
济铁旅	JLO
吉文	JWX
鸡西	JXB
绩溪县	JRH
蓟县	JKP
蓟县南	JIP
蓟县西	JIV
吉新河	JXX
济源	JYF
贾庵子	JQP
嘉川	JQW
嘉峰	JFF
夹河寨	IZH
贾家街	JYT
加劳	JAW
佳木斯	JMB
加南	JAX
嘉善	JSH
甲山	JOP
嘉善南	EAH
嘉祥	JUK
夹心子	JXT
嘉兴	JXH
嘉兴南	EPH
嘉峪关	JGJ
建北	JUD
建昌	JFD
涧池铺	JCY
碱柜	JGC
建湖	AJH
健民	JMT
建宁县北	JCS
建瓯	JVS
笕桥	JIH
建三江	JIB
建设	JET
建始	JRN
建水	JSM
建水北	JBM
简阳	JYW
建阳	JYS
江北	JIL
江边村	JBG
蒋村	JCV
江都	UDH
江海	JNQ
江华	JHZ
江家	JAG
姜家	JJB
江家岭	JJD
江津	JJW
将军河	JHN
将军堡	JAT
将乐	JLS
江门	JWQ
江密峰	TFL
江宁	JJH
江桥	JQX
江桥镇	JCH
江山	JUH
江所田	JOM
江西村	JAZ
姜堰	UEH
江永	JYZ
江油	JFW
江源	SZL
绛帐	JZY
交城	JNV
蛟河	JHL
角美	JES
蕉溪	JXW
胶州	JXK
胶州北	JZK
焦作	JOF
焦作东	WEF
街洞	JDQ
街基	JJT
界牌	JPV
界山	JSB
界首	JSK
界首市	JHH
介休	JXV
揭阳	JRQ
金宝屯	JBD
金昌	JCJ
浸长村	QCM
金场堡	JPD
金城	JCD
晋城	JCF
晋城北	JEF
金城江	JJZ
金刚沱	JGW
金沟	JGD
金沟屯	VGP
金谷	JGS
金河	JHX
锦和	JHQ
锦河	JHB
津沪所	00A
金华南	RNH
金华西	JBH
金鸡村	JCZ
金家店	JJC
晋江	JJS
锦界	JEY
金坑	JKT
金口河	JHW
金林	JNX
金岭镇	JLK
金马村	JMM
金沙滩	JTV
金沙湾	JWW
金山	JND
金山北	EGH
金山桥	JRS
金山屯	JTB
金山湾	JWT
金山卫	BGH
金山卫东	JDH
金山卫西	JEH
金山园区	REH
劲松	JOX
金堂	JDW
进贤	JUG
金银川	JCR
金银沟	JOT
缙云	JYH
金寨	JZH
金杖子	JYD
金钟	JBW
金州	JZT
锦州	JZD
晋州	JXP
锦州南	JOD
金珠	JVL
靖边	JIY
景德镇	JCG
景德镇南	JNG
井店	JFP
井冈山	JGG
静海	JHP
精河	JHR
精河南	JIR
经久	JNW
井口	JKW
京联合	99P
静岭	JLX
荆门	JMN
井南	JNP
经棚	JPC
京山	JCN
景泰	JTJ
镜铁山	JVJ
井头墟	JXZ
荆西	JXS
井陉	JJP
景阳屯	JTT
靖远	JYJ
靖远西	JXJ
靖州	JEQ
荆州	JBN
敬梓场	JCW
久长	JUW
九道岭	JDD
鹫峰	JBP
九公里	JUB
九江	JJG
九江西	JKG
九里	JEW
九里垄	VLG
九里山	JSF
九龙	JQO
九龙山	JSP
九龙塘	JTW
酒泉	JQJ
九三	SSX
九台	JTL
九台南	JNL
九王庄	JZP
九燕山	JUY
九营	JYB
韭园	JPP
九站	JZL
旧站	JNT
旧庄窝	JVP
巨宝	JRT
巨各庄	JGP
聚乐堡	JLV
巨流河	JHD
莒南	JOK
句容西	JWH
巨亭	JTY
莒县	JKK
巨野	JYK
居庸关	JYP
聚源	IIW
鄄城	JCK
峻德	JDB
军户	JVR
军粮城	JLP
军粮城北	JMP
军山	VSG
朱日和	ZRC
喀喇其	KQX
喀拉玉尔滚	KYR
卡路屯	KLB
卡伦	KLL
喀什	KSR
开安	KAT
凯北	KBB
开道	KDB
开封	KFF
开干齐	KQR
开江	KAW
凯里	KLW
开鲁	KLC
开平	KPP
开通	KTT
开原	KYT
开原西	KXT
康城	KCP
康金井	KJB
康熙岭	KXZ
康庄	KZP
靠山屯	KTL
克拉玛依	KHR
克东	KOB
柯柯	KKO
岢岚	KLV
克利	KLX
柯坪	KPR
克山	KSB
柯坦	KTH
克一河	KHX
孔家	KJD
孔家沟	IJD
孔家庄	KJP
孔垄	KLG
孔滩	KTW
孔庄	KZF
库尔勒	KLR
口前	KQL
口泉	KQV
口头	KTK
库车	KCR
库伦	KLD
宽甸	KDT
宽沟	KGB
矿山村	KSP
魁岐	KQS
奎山	KAB
葵潭	KTQ
奎屯	KTR
奎屯东	KDR
奎屯西	KRR
昆都庙	KDD
昆明	KMM
昆明北	KBM
昆明东	KDM
昆明西	KXM
昆山	KSH
昆山南	KNH
昆阳	KAM
拉白	UBW
拉法	LFL
拉古	LGB
拉哈	LHX
拉拉屯	LWD
拉林	LAB
喇嘛甸	LMX
喇嘛山	LSX
拉萨	LSO
拉鲊	LEM
砬子河	LVL
来宾	UBZ
来宾北	UCZ
来福	UFT
濑湍	LVZ
莱芜东	LWK
莱芜西	UXK
莱西	LXK
莱阳	LYK
涞源	LYP
来舟	LZS
滥坝	LQW
蓝村	LCK
栏杆滩	LGW
兰岗	LNB
兰家	LJD
蓝家村	LCZ
兰家屯	LAT
兰考	LKF
兰棱	LLB
兰岭	ULB
兰滩	LAY
兰溪	LWH
兰州	LZJ
兰州东	LVJ
兰州金轮	LZO
兰州西	LAJ
廊坊	LJP
廊坊北	LFP
浪河	LHN
狼山	LEP
狼尾山	LRJ
狼窝铺	UOP
朗乡	LXB
琅琊	UNW
老边	LLT
捞刀河	LHQ
劳动屯	LMT
老府	UFD
老古沟	LOT
老锅厂	KGW
老哈河	LAD
老河口东	LDN
老莱	LAX
老岭	LRL
老庙	LML
老堡	UPZ
醪桥	UQG
老松岭	LKL
老头沟	LGL
老王洞	UEW
老羊壕	LYC
老爷岭	LLL
老伊尔施	IIT
老营	LXL
乐坝	VBW
乐昌	LCQ
乐昌东	LOQ
乐都	LDO
乐化	LHG
乐平市	LPG
乐山	UTW
乐善村	LUM
乐素河	LSY
乐土驿	LTR
乐武	UWW
乐园	UYL
乐跃	UYW
雷锋路	LIT
磊口	LVF
耒阳	LYQ
耒阳西	LPQ
雷州	UAQ
雷庄	LZP
冷水	LOY
冷水江东	UDQ
里八庄	LAV
李冰广场	LEW
黎城	UCP
利川	LCN
离堆公园	INW
李浩寨	LMM
李河	RHW
李家	LJB
励家	LID
李家店	LFT
李家沟	LOD
李家河	LJY
李家坪	LIJ
理家坪	UZZ
李家屯	LJT
李家湾	LYW
丽江	LHM
丽江东	LIM
李金	LND
里腊	LAM
醴陵	LLG
栗木	LMN
里木店	LMB
李七庄	UQP
厉山	LSN
李石寨	LET
李市镇	LZW
梨树湾	USW
梨树镇	LSB
丽水	USH
溧水	LDH
利水	LSS
黎塘	LTZ
黎塘西	UKZ
李屯	LVD
李　屯	LEF
李旺	VLJ
澧县	LEQ
溧阳	LEH
礼乐	UEQ
李珍	LZF
立志	LZX
礼州	UZW
李子沟	URW
莲东	LGF
莲河	LAL
联合乡	UXW
莲花山	LHD
连江	LKS
廉江	LJZ
连江口	LJQ
莲江口	LHB
连山关	LGT
莲塘	LTG
涟源	LAQ
连云港	UIH
连云港东	UKH
连珠山	LIB
亮兵台	LBL
良村	LNP
两当	LDY
梁底下	LDP
凉风垭	LRW
良各庄	LGP
两河口	LKW
凉红	UIW
两家	UJT
梁家坝	LBY
亮甲店	LRT
梁家渡	LDG
两路口	ULW
梁平	UQW
梁山	LMK
凉水井	FSW
两所屯	UAW
凉亭河	LHH
凉雾	LOW
良乡	LAP
聊城	UCK
聊城北	UBK
聊城东	UDK
了墩	LDR
辽阳	LYT
辽源	LYL
辽中	LZD
临巴溪	UVW
林场	LIH
临川	LCG
林村	LCP
林东	LRC
临汾	LFV
林海	LXX
临海	UFH
临河	LHC
蔺家楼	ULK
林家台	LQT
临江	LQL
临江场	LNW
临江寺	LSW
林口	LKB
临澧	LWQ
临平	LPH
临清	UQK
临汝镇	LWF
林盛堡	LBT
蔺市	LWW
临水	LIP
临潼	LIY
临潼东	LQY
林西	LXC
临西	UEP
林县	LSF
临湘	LXQ
临沂	LVK
临沂北	UYK
临沂南	UNK
临颍	LNF
林源	LYX
临泽	LEJ
临淄	LZK
林子头	LIL
灵宝	LBF
灵宝西	LPF
岭北	LBX
灵璧	GMH
灵川	LUZ
凌村所	UMZ
凌海	JID
凌家场	LAW
临江溪	LVW
灵杰	UJW
零口	LKY
陵口	LKH
伶俐	LLZ
零陵	UWZ
岭南	LWX
灵丘	LVV
陵丘	LQX
灵山	LNT
灵石	LSV
陵水	LIQ
岭头	LOS
灵武	LNJ
灵仙庙	LXW
凌源	LYD
凌源东	LDD
六安	UAH
柳城	UHZ
柳村北	LBP
六道河	LEL
六道河子	LVP
六地沟	LGC
流芳	LFN
六个鸡	UOW
刘沟	LDW
柳沟	LUJ
柳河	LNL
六合	KLH
六合镇	LEX
刘集	LKI
六家	LZL
刘家村	AJT
刘家店	UDT
刘家沟	LNY
刘家河	LVT
柳家庄	LJJ
琉璃河	LLP
六里坪	LLN
柳林河	LLV
柳林南	LKV
柳毛	LEB
柳毛沟	UML
六盘山	UPJ
六盘水	UMW
六盘水南	KPW
留守营	LQP
柳树	LOB
柳树河	LHL
柳树泉	LSR
柳树屯	LSD
流水沟	USP
柳铁海口	LHA
刘屯	LKD
刘伟壕	LWC
流溪场	HUH
柳辛庄	LUP
柳园	DHR
刘征	UZK
六枝	LIW
柳州	LZZ
柳州北	LBZ
柳州南	LNZ
柳州直销	99Z
留庄	UZF
隆安	UVZ
龙伯屯	LOZ
隆昌	LCW
龙池	UPW
龙川	LUQ
龙船	LCB
龙凤	LFX
龙沟	LGJ
龙骨甸	LGM
龙广	UGZ
龙华	LHP
隆化	UHP
龙嘉	UJL
龙家堡	LPL
龙家营	LKP
龙家营所	UFP
龙江	LJX
龙井	LJL
龙口	UKG
龙里	LLW
龙门河	MHA
龙门镇	LSQ
龙南	UNG
龙泉	LWL
龙泉寺	UQJ
龙山	LSL
龙山镇	LAS
隆盛	NSW
龙水坪	LCL
龙潭山	LTL
龙潭寺	LTW
龙塘坝	LBM
龙头	LDT
陇西	LXJ
陇县	LXY
龙岩	LYS
隆尧县	LWP
龙游	LMH
龙镇	LZA
龙爪沟	LZT
娄底	LDQ
娄山关	UKW
胪滨	LNX
芦潮港	UCH
潞城	UTP
潞城乡	UXZ
陆川	LKZ
鹿道	LDL
鲁番	LVM
禄丰	LFM
陆丰	LLQ
芦沟	LOM
鲁河	LUX
芦洪市	UMQ
芦家村	LJC
芦家庄	LJV
路家庄	LUV
庐江	UJH
路口铺	LKQ
陆良	LRM
卢龙	UAP
卢龙北	LOV
炉桥	LQH
庐山	LSG
鲁山	LAF
禄市	UUW
露水河	LUL
芦台	LTP
芦溪	LUG
泸阳	UYQ
鹿寨	LIZ
鹿寨北	LSZ
芦庄	LZV
滦河	UDP
滦河沿	UNP
滦平	UPP
乱石山	LCT
滦县	UXP
滦县东	LXP
略阳	LYY
轮台	LAR
洛川东	LRY
洛东	LYZ
落垡	LOP
罗坊	LFG
倮果	VGW
漯河	LON
漯河西	LBN
珞璜	LHW
罗家	LUD
罗家屯	LTV
罗江	LJW
洛满	LMZ
洛门	LMJ
罗陂岗	LNG
罗平	LPM
落坡岭	LPP
罗山	LRN
螺山	LSP
罗田	LPW
骆驼岭	LLD
骆驼山	LOL
骆驼巷	LTJ
罗文	LWY
罗文皂	LWV
洛阳	LYF
洛阳北	LIF
洛阳东	LDF
洛阳龙门	LLF
罗源	LVS
吕坊	LIG
吕河	LUY
绿化	LWJ
吕梁	LHV
旅顺	LST
旅顺西	UUK
绿潭	LTB
马鞍岭	MAL
马鞍山	MAH
马坝	MBQ
马场	MCW
麻城	MCN
麻城北	MBN
马村	MRW
马房	MNM
马嘎	MVW
马盖图	MGC
麻虎	MHY
马皇	MHZ
马回岭	MHG
马家堡	MJP
马架子	MBC
麻江	BBW
马角坝	MBW
马街	MJW
马坑	MES
麻栗	MLW
马莲河	MHB
马林	MID
麻柳	MLY
马柳	MLP
麻柳镇	RRW
马龙	MGM
马路圩	MUZ
玛纳斯湖	MHR
马棚	MVN
马铺营	MPP
马桥河	MQB
马三家	MJT
麻山	MAB
马蹄湾	MTY
马田墟	MXQ
马头	MTP
麻旺	NOW
麻尾	VAW
马尾	MWS
马尾山	MWL
马相屯	MXL
麻阳	MVQ
麻芝铺	MPW
麦园	MYS
满村	MEF
满归	MHX
满汉营	MYD
漫流河	MIP
漫水湾	MKW
满洲里	MLX
玛纳斯	MSR
毛坝	MBY
毛坝关	MGY
茅草坪	KPM
毛德呼热	MFC
帽儿山	MRB
毛告吐	MOD
茂林	MLD
茅岭	MLZ
茂名	MMZ
茂名东	MDQ
茂舍祖	MOM
么荒	YWD
么铺	YEW
美岱召	MDC
梅河口	MHL
梅花山	MHW
梅江	MKQ
美兰	MHQ
梅陇	MLE
眉山	MSW
梅水坑	MSS
煤田	MTX
美溪	MEB
煤窑沟	MYR
梅州	MOQ
梅子铺	MPY
门达	MDD
门头沟	MGP
猛洞河	MUQ
蒙渡	MUW
孟家岗	MGB
孟津	MJF
猛鹫山	MOT
孟庙	MMN
蒙自北	MBM
密地	MXW
弥渡	MDF
汨罗	MLQ
汨罗东	MQQ
密马龙	MMM
米沙子	MST
密山	MSB
密山西	MXB
密县	MXF
米易	MMW
密云	MUP
米脂	MEY
渑池	MCF
渑池南	MFF
免渡河	MDX
冕宁	UGW
冕山	MQW
勉西	MOY
勉县	MVY
绵阳	MYW
绵竹	MIW
庙坝	MGW
庙城	MAP
庙宫	MGD
庙梁	MIC
庙岭	MLL
庙山	MSN
庙台子	MZB
庙头	MTZ
庙下	MBF
庙阳	MYT
庙庄	MZJ
庙子沟	MZW
乜吐硕	MTD
民福寺	MFW
民家	MGT
闵家屯	MTT
闽清	MQS
民权	MQF
民生村	MVP
民族	MZC
明安	MAC
明城	MCL
明港	MGN
明港东	MDN
明光	MGH
鸣李	MLV
明水河	MUT
明阳	MET
明珠	MFQ
墨池坝	MOW
墨冲	VCW
磨刀石	MOB
莫尔格	MEC
蘑菇滩	MTR
漠河	MVX
莫莫营子	MMD
磨盘山	MPL
磨滩	MTF
磨溪	JIW
磨心坡	VNW
墨玉	MUR
莫尔道嘎	MRX
沐埠岭	MLK
木城涧	MHP
牧城子	MBT
牡丹江	MDB
木瓜坪	MWW
木戛	MAW
穆家店	MIT
穆棱	MLB
木里图	MUD
木林	MNV
沐滂	MPQ
牧羊村	MCM
牧原	MYX
木竹河	MEW
那花所	NGZ
纳林沟门	NMC
那林桃亥	NLC
那罗	ULZ
那铺	NPZ
那曲	NQO
那玉	NYW
乃林	NLD
奈曼	NMD
奶姆庄	NMM
奈字井	NID
南安	NAS
南岸坝	NAW
南白镇	NBW
南博山	NBK
南仓	NCP
南岔	NCB
南昌	NCG
南昌北	NBG
南昌西	NXG
南陈铺	NCF
南城	NDG
南城司	NSP
南充	NCW
南充东	NTW
南充西	KIW
南仇	NCK
南川	KWW
南大庙	NMP
南大寺	NDP
南丹	NDZ
南定	NDK
南尔岗	NVW
南芬	NFT
南丰	NFG
南岗	NGQ
南宫东	NFP
南宫山	NGW
南沟	NGL
南观村	NGP
南关岭	NLT
南河	NHV
南河川	NHJ
南湖东	NDN
南华	NHS
南季家疃	NJK
南峧	NJP
南京	NJH
南靖	NJS
南京北	VBH
南京东	NDH
南京南	NKH
南京西	NIH
南康	NAG
南口	NKP
南口前	NKT
南朗	NNQ
南岭	NAD
南木	NMX
楠木塘	NTQ
南宁	NNZ
南宁东	NFZ
南宁南	NUZ
南票	NPD
南平	NPS
南平南	NNS
南堡	NPP
南桥	NQD
南社	NSQ
南台	NTT
南汤	NGD
南塘镇	NTG
南洮南	NOT
南通	NUH
南头	NOQ
南洼	NWD
南湾子	NWP
南溪沟	NXY
南翔	NXH
南翔北	NEH
南翔北所	03A
南新城	NAP
南兴安	NIT
南星桥	NQH
南阳	NFF
南阳东	NDF
南阳西	NVF
南阳寨	NYF
南营井	NEP
南峪	NUP
南园村	NYC
南杂木	NZT
南张村	NZP
南召	NAF
闹海营	NHP
讷尔克气	NKX
讷河	NHX
内江	NJW
内江东	NDW
内江南	NXW
内乡	NXF
嫩江	NGX
能家	NJD
尼波	NPW
泥河子	NHD
尼勒克	NIR
尼日	NRW
鲇鱼山	NYG
碾子山	NZX
娘娘庙	NNY
娘子关	NIP
聂各庄	NBP
聂河	NIX
捏掌	NZF
宁安	NAB
宁波	NGH
宁波东	NVH
宁村	NCZ
宁德	NES
宁国	NNH
宁海	NHH
宁家	NVT
宁陵县	NLF
宁明	NMZ
宁武	NWV
宁武西	NWA
宁乡	NXQ
牛耳河	NRX
牛汾台	NRT
牛家	NJB
牛家梁	NLY
牛家营子	NYD
牛角山	NJT
牛街	NIM
牛街庄	NJM
牛晶坪	NJV
牛栏山	NLP
牛坪子	NZW
牛驼	NTA
牛心台	NXT
牛庄	NZD
农安	NAT
农垦四团	NKC
农乐	ILW
弄弄坪	NNW
暖泉	NQJ
女儿河	NRD
乌奴耳	WRX
敖力布告	ALD
鄂尔多斯	EEC
乌尔旗汗	WHX
欧里	OLD
徘徊北	PHP
磐安镇	PAJ
盘古	PGX
盘古寺	PGF
盘关	PAM
潘家	PJD
潘家店	PDP
盘脚营	PJW
盘锦	PVD
盘锦北	PBD
蟠龙镇	PLY
磐石	PSL
攀枝花	PRW
跑马山	PMM
泡子	POD
裴德	PDB
裴沟	PVF
沛屯	PUA
沛县	PXI
蓬安	PAW
彭城	PCP
蓬莱	PLW
彭山	PSW
彭水	PHW
蓬溪	KZW
彭阳	PYJ
彭泽	PZG
彭州	PMW
彭州南	PKW
劈柴沟	PGN
皮口	PKT
皮山	PSR
郫县	PWW
郫县东	PFW
郫县西	PCW
邳州	PJH
偏店	PRP
偏岭	PNT
瓢儿屯	PRT
品甸	PDZ
平安	PAL
平安城	PAV
平安堡	PAD
平安驿	PNO
平安镇	PZT
平坝	PBW
平川	PCL
平等	PDW
平顶庙	PDC
平顶山	PEN
平顶山西	BFF
平东	PDL
平坊	PVP
平房	PFB
平岗	PGL
平谷	PUV
平关	PGM
平果	PGZ
苹果园	PGP
平河口	PHM
平湖	PHQ
平湖南	PNQ
平吉堡	PJJ
平凉	PIJ
平凉南	POJ
苹林	PLS
平林村	PCZ
平罗	SZJ
平南	PAZ
平泉	PQP
平山	PSB
平社	PSV
坪石	PSQ
平台	PVT
平田	PTM
平旺	PWV
凭祥	PXZ
萍乡	PXG
凭祥北	PBZ
平型关	PGV
平洋	PYX
平遥	PYV
平邑	PIK
平义分	PEP
平峪	PYP
平原	PYK
平原堡	PPJ
平庄	PZD
平庄南	PND
坡底村	PDY
坡底下	PXJ
普安	PAN
蒲坝	PVW
蒲城	PCY
蒲城东	PEY
普定	PGW
普洱渡	PUW
铺集	PJK
普济	PIW
蒲家	PUY
浦江	PVH
普兰店	PLT
普宁	PEQ
蒲圻	PQN
蒲山店	PSF
葡萄菁	PTW
莆田	PTS
圃田西	ZDF
普湾	PWT
普雄	POW
蒲阳	DQW
嵯岗	CAX
查干诺尔	CGC
查干特格	CTC
察素齐	CSC
七宝	QPH
蕲春	QRN
七道河	QDL
七道桥	QUP
七甸	QDM
祁东	QWQ
祁东北	QRQ
奇峰塔	QVP
旗杆底	QGT
齐哈日格图	QHC
祁家堡	QBT
七家子	QCT
七间房	QJL
七里河	QLD
七里坪	QPY
七龙星	QLW
祁门	QIH
棋盘	QPL
齐齐哈尔	QHX
七泉湖	QHR
旗山	QSX
岐山	QAY
戚墅堰	QYH
七苏木	QSC
七台河	QTB
旗下营	QXC
旗下营东	QDC
祁县	QXV
淇县	QXF
七眼桥	QQW
祁阳	QMQ
祁阳北	QVQ
七营	QYJ
齐岳山	QMW
迁安	QQP
乾安	QOT
迁安北	QBV
前场	QCS
千岛湖	QHH
前甸	QDT
前锋	QFB
千河	QUY
前河	QHL
钱家店	QJD
黔江	QNW
潜江	QJN
前进镇	QEB
前磨头	QMP
前山	QXQ
前十家	QVD
钱塘江	QTH
前卫	QWD
前苇塘	QWP
迁西	QIV
千阳	QOY
前窑	QVL
前榆	QUD
前寨	QAV
墙子路	QZP
桥北	QQT
乔村	QAA
桥南	QNK
乔司	QAH
桥头	QAT
桥头村	QTM
桥湾	QVJ
桥西	QXJ
茄子溪	QXW
勤丰营	QFM
沁河北	QBF
秦皇岛	QTP
秦皇岛东	QDV
秦家	QJB
秦家庄	QZV
綦江	QJW
綦江北	QOW
秦岭	QLY
沁县	QVV
沁阳	QYF
钦州	QRZ
钦州北	QBZ
钦州东	QDZ
庆安	QAB
青白江	QBW
青城山	QSW
青岛	QDK
青岛北	QHK
青堆子	QDD
庆丰	QFT
清风店	QFP
青杠	QGW
青沟子	QOL
清河	QIP
清河城	QYP
清河门	QHD
清河桥	QOD
青花	QIY
庆华	QHW
清华园	QHP
清涧	QJV
清涧县	QNY
清凉店	QDP
青岭子	QZB
青龙	QIB
青龙场	QUW
青龙桥	QLP
青龙山	QGH
青龙寺	QSM
清平	QAW
青山	QSB
庆盛	QSQ
青石崖	QSY
清水	QUJ
清水沟	WNW
清水河	QHT
清水河西	QHZ
清水涧	QSP
青水山	VSX
青田	QVH
青铜峡	QTJ
青溪	QIW
青县	QXP
清徐	QUV
庆阳山	QSJ
青羊湾	QYA
清原	QYT
清远	QBQ
青州	QZS
青州市	QZK
成吉思汗	CJX
琼海	QYQ
秋梨沟	QGL
秋木园	QYM
秋木庄	QMT
取柴河	QCL
曲阜	QFK
曲阜东	QAK
曲家店	QND
曲江	QIM
曲靖	QJM
渠旧	QJZ
渠黎	QLZ
曲水	QSL
渠县	QRW
衢州	QEH
权村	QCP
泉沟	QGD
权河	QEY
泉江	QJG
全椒	INH
全胜	QVB
泉水	QST
泉水屯	IUT
泉阳	QYL
泉州	QYS
全州	QZZ
泉州东	QRS
全州南	QNZ
确山	QSN
楚鲁图	CLC
群力	QIX
冉家河	RJY
穰东	RDF
瀼河	REF
饶平	RVQ
饶阳	RVP
绕阳河	RHD
热水	RSD
任家店	RJD
任家湾	BNY
任丘	RQP
日新	RXD
日照	RZK
融安	RAZ
荣昌	RCW
容桂	RUQ
融水	RSZ
容县	RXZ
如东	RIH
如皋	RBH
汝箕沟	RQJ
乳山	ROK
汝阳	RYF
汝州	ROF
瑞安	RAH
瑞昌	RCG
瑞金	RJG
萨拉齐	SLC
萨拉齐东	SCC
赛金桥	OJW
赛鱼	ORP
赛汗塔拉	SHC
赛乌苏	SWC
三把火	SBD
三百吨	SUP
三宝屯	SVT
三卜素	SUC
三岔镇	OCV
三道沟	SGL
三道桥	SDX
三道堰	DVW
三道营	SDC
三队	SAL
三堆子	ODW
三葛庄	SGR
三给村	SGV
三关口	OKJ
三合场	SEW
三河县	OXP
三合庄	SVP
三花石	SUY
三汇坝	OUW
三汇镇	OZW
三家店	ODP
三家寨	SMM
三家子	OID
三间房	SFX
三江	SNW
三江口	SKD
三江县	SOZ
三江镇	SJG
三介海子	SPC
三林	SOD
三茂铁旅	SMA
三门峡	SMF
三门峡南	SCF
三门峡西	SXF
三门县	OQH
三明	SMS
三明北	SHS
三明东	SDS
三平	OWP
三坪	SPR
三堡	SPP
三十家	SRD
三十里堡	SST
三十里铺	LAH
三十三号	SRT
三水	SJQ
三台	STD
三唐	STK
三堂集	SDH
三星	OXW
三亚	SEQ
三阳川	SYJ
三义井	OYD
三营	OEJ
三营图	QIC
三原	SAY
三元坝	OYW
三源浦	SYL
桑根达来	OGC
桑园子	SAJ
色树坟	SFP
沙坝	OIW
沙坝子	SQC
沙厂坪	SPZ
莎车	SCR
沙城	SCP
沙村	SCG
沙海	SED
沙河	SHP
沙河口	SKT
沙河市	VOP
沙后所	SSD
沙琅	OUQ
沙力	SIX
沙良	SIC
沙岭子	SLP
沙马拉达	OLW
沙坪坝	CYW
沙坡头	SFJ
沙浦	SHQ
沙日乃	ORC
沙沙圪台	SYC
沙沙坡	OGW
沙塘	IEH
沙沱	SFM
沙坨子	SMD
沙湾	SVW
沙湾县	SXR
沙溪坝	SBW
沙县	SAS
沙园	OAB
沙子河	OPP
山场屯	SCD
山城镇	SCL
山丹	SDJ
山海关	SHD
山河屯	SHL
山口	SKR
山岭子	OGP
山坡东	SBN
鄯善	SSR
山市	SQB
杉松岗	SBL
汕头	OTQ
山湾子	OWD
汕尾	OGQ
山阳	SPH
上安	SAP
上板城	SBP
上板城南	OBP
上仓	SKP
商城	SWN
上店	ODC
商都	SXC
上高镇	SVK
上格达	SDM
上谷	SGP
上关	SGM
上海	SHH
上海虹桥	AOH
上海南	SNH
上海西	SXH
上杭	JBS
上湖	SRV
尚家	SJB
上街	SJF
商酒务	SWF
上兰村	SLV
商洛	OLY
商南	ONY
上普雄	OPW
商丘	SQF
商丘北	SBF
商丘南	SPF
上泉	OAP
上饶	SRG
上水头	OUP
上万	SWP
尚武	SWW
上西铺	SXM
上腰墩	SPJ
上营	SNL
上虞	BDH
上虞北	SSH
上园	SUD
尚志	SZB
尚庄	SRF
邵东	SOQ
韶关	SNQ
韶关东	SGQ
邵家堂	SJJ
韶山	SSQ
绍水	SSZ
邵武	SWS
绍兴	SOH
绍兴北	SLH
邵阳	SYQ
舍伯吐	OBD
畲江	OCQ
滠口	SKN
舍力	SOT
舍力虎	VLD
涉县	OEP
歙县	OVH
神池	SMV
